Book_ID,Title,Author,Genre,SubGenre,Weights,Publisher,Pacing,Gender,Age_Group,language,era
53,Catch 22,Joseph Heller,fiction,classic,178,Random House,slow,male,child,hindi,medieval
54,The Complete Mastermind,BBC,nonfiction,trivia,178,BBC,slow,male,old,english,modern
55,Dylan on Dylan,Bob Dylan,nonfiction,autobiography,197,Random House,slow,female,child,hindi,modern
56,Soft Computing & Intelligent Systems,Madan Gupta,tech,data_science,242,Elsevier,fast,male,old,hindi,medieval
57,Textbook of Economic Theory,Alfred Stonier,tech,economics,242,Pearson,medium,female,child,hindi,medieval
58,Econometric Analysis,W. H. Greene,tech,economics,242,Pearson,fast,female,child,english,ancient
59,Learning OpenCV,Gary Bradsky,tech,signal_processing,232,O'Reilly,medium,others,adult,english,modern
60,Data Structures Using C & C++,Andrew Tanenbaum,tech,computer_science,235,Prentice Hall,fast,female,adult,hindi,medieval
61,"Computer Vision, A Modern Approach",David Forsyth,tech,signal_processing,255,Pearson,fast,others,old,english,modern
62,Principles of Communication Systems,Schilling Taub,tech,signal_processing,240,TMH,medium,others,old,english,medieval
63,Let Us C,Yashwant Kanetkar,tech,computer_science,213,Prentice Hall,fast,female,old,hindi,modern
64,The Amulet of Samarkand,Jonathan Stroud,fiction,novel,179,Random House,slow,female,child,english,ancient
65,Crime and Punishment,Fyodor Dostoevsky,fiction,classic,180,Penguin,medium,male,adult,hindi,ancient
66,Angels & Demons,Dan Brown,fiction,novel,178,Random House,medium,others,child,hindi,modern
67,The Argumentative Indian,Amartya Sen,nonfiction,history,209,Picador,slow,others,adult,hindi,medieval
68,Sea of Poppies,Amitav Ghosh,fiction,novel,197,Penguin,slow,others,child,hindi,modern
69,The Idea of Justice,Amartya Sen,philosophy,economics,212,Penguin,slow,male,child,hindi,medieval
70,A Raisin in the Sun,Lorraine Hansberry,fiction,novel,175,Penguin,slow,male,child,hindi,modern
71,All the President's Men,Bob Woodward,nonfiction,history,177,Random House,medium,male,child,english,ancient
72,A Prisoner of Birth,Jeffery Archer,fiction,novel,176,Pan,slow,others,child,english,medieval
73,Scoop!,Kuldip Nayar,nonfiction,history,216,HarperCollins,slow,male,child,hindi,medieval
74,Ahe Manohar Tari,Sunita Deshpande,nonfiction,autobiography,213,Mauj,slow,female,old,english,ancient
75,The Last Mughal,William Dalrymple,nonfiction,history,199,Penguin,fast,female,old,hindi,ancient
76,"Social Choice & Welfare, Vol 39 No. 1",Various,tech,economics,235,Springer,medium,others,old,hindi,medieval
77,Radiowaril Bhashane & Shrutika,P L Deshpande,nonfiction,misc,213,Mauj,slow,male,old,english,modern
78,Gun Gayin Awadi,P L Deshpande,nonfiction,misc,212,Mauj,medium,male,child,hindi,modern
79,Aghal Paghal,P L Deshpande,nonfiction,misc,212,Mauj,fast,others,adult,hindi,ancient
80,Maqta-e-Ghalib,Sanjay Garg,nonfiction,poetry,221,Mauj,slow,others,child,hindi,ancient
81,Beyond Degrees,Fritjof Capra,philosophy,education,222,HarperCollins,medium,male,adult,english,medieval
82,Manasa,V P Kale,nonfiction,misc,213,Mauj,fast,male,adult,english,modern
83,India from Midnight to Milennium,Shashi Tharoor,nonfiction,history,198,Penguin,fast,others,child,hindi,ancient
84,The World's Greatest Trials,Fritjof Capra,nonfiction,history,210,HarperCollins,slow,others,child,english,modern
85,The Great Indian Novel,Shashi Tharoor,fiction,novel,198,Penguin,slow,female,old,hindi,ancient
86,O Jerusalem!,Dominique Lapierre,nonfiction,history,217,vikas,medium,female,child,english,modern
87,The City of Joy,Dominique Lapierre,fiction,novel,177,vikas,slow,others,child,hindi,medieval
88,Freedom at Midnight,Dominique Lapierre,nonfiction,history,167,vikas,slow,female,old,english,medieval
89,The Winter of Our Discontent,John Steinbeck,fiction,classic,196,Penguin,fast,others,adult,hindi,ancient
90,On Education,Bertrand Russell,philosophy,education,203,Routledge,slow,female,old,english,ancient
91,Free Will,Sam Harris,nonfiction,psychology,203,FreePress,slow,others,adult,english,modern
92,Bookless in Baghdad,Shashi Tharoor,nonfiction,history,206,Penguin,slow,others,child,english,modern
93,The Case of the Lame Canary,Earle Stanley Gardner,fiction,novel,179,Jaico,slow,others,old,english,modern
94,The Theory of Everything,Stephen Hawking,science,physics,217,Jaico,fast,others,child,english,modern
95,New Markets & Other Essays,Peter Drucker,science,economics,176,Penguin,fast,male,adult,english,ancient
96,Electric Universe,David Bodanis,science,physics,201,Penguin,slow,others,child,english,ancient
97,The Hunchback of Notre Dame,Victor Hugo,fiction,classic,175,Random House,medium,female,adult,english,modern
98,Burning Bright,John Steinbeck,fiction,classic,175,Penguin,slow,male,old,english,modern
99,The Age of Discontuinity,Peter Drucker,nonfiction,economics,178,Random House,medium,others,old,english,modern
100,Doctor in the Nude,Richard Gordon,fiction,novel,179,Penguin,slow,others,old,hindi,medieval
101,Down and Out in Paris & London,George Orwell,nonfiction,autobiography,179,Penguin,fast,female,child,english,medieval
102,Identity & Violence,Amartya Sen,philosophy,philosophy,219,Penguin,slow,male,child,hindi,ancient
103,Beyond the Three Seas,William Dalrymple,nonfiction,history,197,Random House,fast,female,child,english,ancient
104,The World's Greatest Short Stories,Fritjof Capra,fiction,classic,217,Jaico,medium,others,adult,english,modern
105,Talking Straight,Lee Iacoca,nonfiction,autobiography,175,HighStakes,fast,male,old,hindi,medieval
106,"Maugham's Collected Short Stories, Vol 3",William S Maugham,fiction,classic,171,Vintage,slow,female,old,english,ancient
107,The Phantom of Manhattan,Frederick Forsyth,fiction,classic,180,HighStakes,medium,female,child,hindi,ancient
108,Ashenden of The British Agent,William S Maugham,fiction,classic,160,Vintage,fast,female,old,english,medieval
109,Zen & The Art of Motorcycle Maintenance,Robert Pirsig,philosophy,autobiography,172,Vintage,slow,female,child,english,medieval
110,The Great War for Civilization,Robert Fisk,nonfiction,history,197,HarperCollins,fast,female,old,hindi,modern
111,We the Living,Ayn Rand,fiction,novel,178,Penguin,slow,male,old,english,modern
112,The Artist and the Mathematician,Amir Aczel,science,mathematics,186,HighStakes,slow,others,child,english,modern
113,History of Western Philosophy,Bertrand Russell,philosophy,philosophy,213,Routledge,fast,female,adult,english,medieval
114,Selected Short Stories,Fritjof Capra,fiction,classic,215,Jaico,fast,others,child,hindi,ancient
115,Rationality & Freedom,Amartya Sen,science,economics,213,Springer,fast,female,child,hindi,ancient
116,Clash of Civilizations and Remaking of the World Order,Samuel Huntington,nonfiction,history,228,Simon&Schuster,slow,female,child,hindi,modern
117,Uncommon Wisdom,Fritjof Capra,nonfiction,anthology,197,Fontana,medium,male,child,english,modern
118,One,Richard Bach,nonfiction,autobiography,172,Dell,slow,male,child,hindi,medieval
119,Karl Marx Biography,V S Naipaul,nonfiction,autobiography,162,Fontana,fast,others,old,english,ancient
120,To Sir With Love,Braithwaite,fiction,classic,197,Penguin,fast,male,adult,english,ancient
121,Half A Life,V S Naipaul,fiction,novel,196,Wiley,slow,male,old,hindi,ancient
122,The Discovery of India,Jawaharlal Nehru,nonfiction,history,230,Wiley,medium,others,adult,hindi,medieval
123,Apulki,P L Deshpande,nonfiction,misc,211,Penguin,slow,male,child,hindi,ancient
124,Unpopular Essays,Bertrand Russell,philosophy,philosophy,198,HarperCollins,medium,others,old,english,modern
125,The Deceiver,Frederick Forsyth,fiction,novel,178,Penguin,fast,female,child,hindi,ancient
126,Veil: Secret Wars of the CIA,Bob Woodward,nonfiction,history,171,Springer,medium,female,adult,english,ancient
127,Char Shabda,P L Deshpande,nonfiction,misc,214,Orient Blackswan,slow,others,adult,hindi,ancient
128,Rosy is My Relative,Gerald Durrell,fiction,novel,176,Penguin,medium,male,adult,english,ancient
129,The Moon and Sixpence,William S Maugham,fiction,classic,180,CRC,slow,female,adult,hindi,modern
130,Political Philosophers,Thomas Friedman,philosophy,politics,162,Penguin,fast,others,child,hindi,modern
131,A Short History of the World,H G Wells,nonfiction,history,197,Apress,fast,male,adult,english,modern
132,The Trembling of a Leaf,William S Maugham,fiction,novel,205,Random House,medium,male,old,english,medieval
133,Doctor on the Brain,Richard Gordon,fiction,novel,204,Bodley Head,slow,male,child,hindi,ancient
134,Simpsons & Their Mathematical Secrets,Simon Singh,science,mathematics,233,MIT Press,slow,others,adult,hindi,modern
135,Pattern Classification,Hart Duda,tech,data_science,241,Penguin,medium,male,child,english,medieval
136,From Beirut to Jerusalem,Thomas Friedman,nonfiction,history,202,Random House,medium,female,child,hindi,modern
137,The Code Book,Simon Singh,science,mathematics,197,MIT Press,fast,male,adult,english,medieval
138,The Age of the Warrior,Robert Fisk,nonfiction,history,197,Apress,medium,male,adult,english,ancient
139,Final Crisis,Simon Singh,fiction,comic,257,Penguin,medium,others,old,hindi,medieval
140,The Killing Joke,Thomas Friedman,fiction,comic,283,Penguin,medium,others,old,english,ancient
141,Flashpoint,Robert Fisk,fiction,comic,265,O'Reilly,medium,female,adult,english,ancient
142,Batman Earth One,Simon Singh,fiction,comic,265,HBA,slow,others,child,english,ancient
143,Crisis on Infinite Earths,Robert Fisk,fiction,comic,258,O'Reilly,fast,others,old,hindi,ancient
144,The Numbers Behind Numb3rs,Keith Devlin,science,mathematics,202,Penguin,medium,female,old,english,modern
145,Superman Earth One - 1,Sergio Franco,fiction,comic,259,O'Reilly,slow,others,child,english,medieval
146,Superman Earth One - 2,Keith Devlin,fiction,comic,258,MIT Press,fast,male,child,hindi,ancient
147,Justice League: Throne of Atlantis,Sergio Franco,fiction,comic,258,Penguin,medium,others,child,english,modern
148,Justice League: The Villain's Journey,Sergio Franco,fiction,comic,258,Penguin,slow,male,old,hindi,medieval
149,The Death of Superman,James Gleick,fiction,comic,258,Random House,medium,others,child,english,ancient
150,History of the DC Universe,James Gleick,fiction,comic,258,Random House,fast,others,child,hindi,ancient
151,Batman: The Long Halloween,Sergio Franco,fiction,comic,258,Random House,slow,female,adult,english,ancient
152,A Life in Letters,John Steinbeck,nonfiction,autobiography,196,Random House,fast,male,adult,english,ancient
153,The Information,James Gleick,science,mathematics,233,Rupa,fast,female,adult,hindi,medieval
154,"Journal of Economics, vol 106 No 3",Sergio Franco,science,economics,235,Penguin,fast,female,adult,hindi,ancient
155,Elements of Information Theory,Joy Thomas,tech,signal_processing,229,Random House,medium,others,adult,hindi,modern
156,Power Electronics - Rashid,Muhammad Rashid,tech,computer_science,235,Rupa,slow,female,adult,hindi,ancient
157,Power Electronics - Mohan,Ned Mohan,tech,computer_science,237,Transworld,medium,male,child,english,modern
158,Neural Networks,Simon Haykin,tech,data_science,240,Pan,fast,others,old,hindi,ancient
159,The Grapes of Wrath,John Steinbeck,fiction,classic,196,Hyperion,fast,others,adult,hindi,medieval
160,Vyakti ani Valli,P L Deshpande,nonfiction,misc,211,Penguin,medium,female,child,hindi,medieval
161,Statistical Learning Theory,Vladimir Vapnik,tech,data_science,228,Random House,slow,others,child,hindi,medieval
162,Empire of the Mughal - The Tainted Throne,Alex Rutherford,nonfiction,history,180,Penguin,medium,male,old,english,ancient
163,Empire of the Mughal - Brothers at War,Alex Rutherford,nonfiction,history,180,HarperCollins,slow,male,old,english,medieval
164,Empire of the Mughal - Ruler of the World,Alex Rutherford,nonfiction,history,180,Penguin,fast,male,child,english,medieval
165,Empire of the Mughal - The Serpent's Tooth,Alex Rutherford,nonfiction,history,180,HarperCollins,slow,male,old,hindi,medieval
166,Empire of the Mughal - Raiders from the North,Alex Rutherford,nonfiction,history,180,Pocket,slow,male,child,hindi,ancient
167,Mossad,Michael Baz-Zohar,nonfiction,history,236,Mauj,fast,female,adult,english,medieval
168,Jim Corbett Omnibus,Jim Corbett,nonfiction,history,223,Penguin,slow,female,child,english,ancient
169,20000 Leagues Under the Sea,Jules Verne,fiction,novel,190,Penguin,slow,male,adult,english,medieval
170,Batatyachi Chal,P L Deshpande,fiction,novel,200,Penguin,medium,male,old,english,modern
171,Hafasavnuk,P L Deshpande,fiction,novel,211,Random House,fast,female,child,hindi,ancient
172,Urlasurla,P L Deshpande,fiction,novel,211,Rupa,fast,others,child,english,medieval
173,Pointers in C,Yashwant Kanetkar,tech,computer_science,213,Random House,slow,male,old,english,ancient
174,The Cathedral and the Bazaar,Eric Raymond,tech,computer_science,217,BBC,slow,male,child,hindi,ancient
175,Design with OpAmps,Sergio Franco,tech,computer_science,240,Random House,fast,female,child,hindi,medieval
176,Think Complexity,Allen Downey,tech,data_science,230,Elsevier,fast,male,child,hindi,modern
177,The Devil's Advocate,Morris West,fiction,novel,178,Pearson,slow,female,child,english,modern
178,Ayn Rand Answers,Ayn Rand,philosophy,objectivism,203,Pearson,fast,male,child,english,ancient
179,Philosophy: Who Needs It,Ayn Rand,philosophy,objectivism,171,O'Reilly,medium,male,child,english,medieval
180,The World's Great Thinkers,Dan Brown,science,physics,189,Prentice Hall,fast,female,old,hindi,modern
181,Data Analysis with Open Source Tools,Phillip Janert,tech,data_science,230,Pearson,fast,male,adult,english,medieval
182,Broca's Brain,Carl Sagan,science,physics,174,TMH,slow,female,old,hindi,medieval
183,Men of Mathematics,E T Bell,science,mathematics,217,Prentice Hall,medium,others,adult,english,ancient
184,Oxford book of Modern Science Writing,Richard Dawkins,science,science,240,Random House,fast,others,child,english,ancient
185,"Justice, Judiciary and Democracy",Sudhanshu Ranjan,nonfiction,legal,224,Penguin,fast,male,adult,hindi,ancient
186,The Arthashastra,Kautiyla,philosophy,philosophy,214,Random House,medium,others,child,english,ancient
187,We the People,Palkhivala,philosophy,philosophy,216,Picador,slow,male,old,hindi,medieval
188,We the Nation,Palkhivala,philosophy,philosophy,216,Penguin,fast,male,old,hindi,modern
189,The Courtroom Genius,Sorabjee,nonfiction,autobiography,217,Penguin,fast,others,child,english,medieval
190,Dongri to Dubai,Hussain Zaidi,nonfiction,history,216,Penguin,fast,male,adult,hindi,modern
191,"History of England, Foundation",Peter Ackroyd,nonfiction,history,197,Random House,medium,others,old,hindi,medieval
192,City of Djinns,William Dalrymple,nonfiction,history,198,Pan,medium,female,adult,hindi,modern
193,India's Legal System,Nariman,nonfiction,legal,177,HarperCollins,medium,female,old,english,modern
194,More Tears to Cry,Jean Sassoon,fiction,novel,235,Mauj,slow,others,old,english,modern
195,The Ropemaker,Peter Dickinson,fiction,novel,196,Penguin,fast,female,old,english,medieval
196,Angels & Demons,Dan Brown,fiction,novel,170,Springer,fast,female,adult,english,medieval
197,"Judge, The",Machiavelli,fiction,novel,170,Mauj,fast,female,child,hindi,medieval
198,"Attorney, The",Machiavelli,fiction,novel,170,Mauj,slow,male,adult,hindi,ancient
199,"Prince, The",Machiavelli,fiction,classic,173,Mauj,medium,male,old,english,medieval
200,Eyeless in Gaza,Aldous Huxley,fiction,novel,180,Mauj,slow,female,old,english,modern
201,Tales of Beedle the Bard,J K Rowling,fiction,novel,184,HarperCollins,fast,male,child,hindi,modern
202,Girl with the Dragon Tattoo,Steig Larsson,fiction,novel,179,Mauj,fast,female,adult,english,modern
203,Girl who kicked the Hornet's Nest,Steig Larsson,fiction,novel,179,Penguin,slow,female,child,hindi,medieval
204,Girl who played with Fire,Steig Larsson,fiction,novel,179,HarperCollins,fast,female,child,english,ancient
205,Batman Handbook,Terence Tao,fiction,comic,270,Penguin,slow,others,old,hindi,medieval
206,Murphy's Law,Steig Larsson,philosophy,psychology,178,vikas,medium,others,child,hindi,modern
207,Structure and Randomness,Terence Tao,science,mathematics,252,vikas,fast,female,old,english,ancient
208,Image Processing with MATLAB,Steve Eddins,tech,signal_processing,241,vikas,fast,female,adult,english,ancient
209,Animal Farm,George Orwell,fiction,classic,180,Penguin,medium,male,old,english,ancient
210,"Idiot, The",Fyodor Dostoevsky,fiction,classic,197,Routledge,fast,others,old,hindi,modern
211,A Christmas Carol,Charles Dickens,fiction,classic,196,FreePress,slow,female,child,english,ancient
212,T,Z,science,misc,328,Springer,medium,male,child,hindi,medieval
213,D,V,philosophy,physics,251,CRC,medium,female,old,english,medieval
214,S,I,nonfiction,signal_processing,272,Apress,fast,male,old,hindi,ancient
215,U,N,nonfiction,signal_processing,230,Wiley,slow,male,adult,hindi,modern
216,I,X,philosophy,economics,270,Springer,medium,female,adult,english,medieval
217,W,H,fiction,legal,325,Springer,fast,male,old,english,ancient
218,L,N,nonfiction,computer_science,214,Penguin,medium,female,old,hindi,medieval
219,K,H,tech,history,329,HarperCollins,medium,others,adult,english,medieval
220,B,N,philosophy,economics,213,Wiley,slow,others,child,hindi,modern
221,Z,K,science,psychology,284,Penguin,medium,others,child,hindi,ancient
222,C,N,science,trivia,317,Springer,medium,female,adult,english,ancient
223,B,W,philosophy,autobiography,239,Penguin,fast,female,old,hindi,medieval
224,N,S,tech,history,287,Orient Blackswan,medium,female,child,english,medieval
225,W,K,tech,computer_science,344,HarperCollins,fast,others,child,english,ancient
226,E,T,philosophy,misc,177,Penguin,slow,others,old,english,ancient
227,N,R,philosophy,autobiography,225,Penguin,fast,male,adult,english,modern
228,I,Z,tech,physics,239,Apress,slow,male,child,english,medieval
229,X,R,fiction,misc,318,Apress,medium,others,child,hindi,medieval
230,B,S,philosophy,misc,250,Penguin,medium,male,old,hindi,modern
231,L,P,fiction,mathematics,168,Wiley,medium,female,old,hindi,medieval
232,M,H,philosophy,psychology,317,CRC,slow,male,old,hindi,ancient
233,C,J,philosophy,comic,164,Springer,medium,others,adult,english,medieval
234,H,O,science,trivia,254,Springer,medium,female,child,english,ancient
235,M,P,science,classic,316,Wiley,slow,female,old,english,modern
236,G,A,fiction,computer_science,278,Penguin,slow,others,child,english,modern
237,B,K,tech,computer_science,237,CRC,slow,male,adult,english,modern
238,W,Q,tech,misc,253,Wiley,medium,male,old,hindi,modern
239,X,I,tech,physics,159,Apress,slow,others,adult,hindi,ancient
240,O,O,nonfiction,computer_science,169,Orient Blackswan,medium,female,child,english,ancient
241,Z,R,fiction,data_science,342,HarperCollins,fast,others,old,english,modern
242,V,G,philosophy,classic,200,Wiley,slow,female,old,english,ancient
243,I,O,science,physics,299,Penguin,medium,others,adult,english,modern
244,C,O,nonfiction,mathematics,243,Wiley,fast,male,old,hindi,modern
245,N,O,nonfiction,computer_science,274,Apress,slow,female,old,english,medieval
246,E,D,tech,data_science,179,Penguin,fast,male,child,english,ancient
247,K,M,nonfiction,classic,315,Orient Blackswan,medium,others,child,english,medieval
248,L,V,science,comic,250,Penguin,slow,others,child,hindi,ancient
249,P,Q,nonfiction,signal_processing,243,Springer,slow,male,old,english,medieval
250,W,V,nonfiction,trivia,294,Apress,medium,female,old,english,ancient
251,O,L,fiction,signal_processing,265,Penguin,medium,others,child,english,modern
252,R,B,tech,comic,330,Apress,slow,others,child,english,modern
253,Y,I,philosophy,comic,262,Penguin,medium,others,child,hindi,ancient
254,R,H,nonfiction,signal_processing,306,Springer,slow,male,child,english,modern
255,G,V,tech,autobiography,219,Springer,slow,female,adult,english,medieval
256,X,T,tech,trivia,208,CRC,slow,female,adult,english,ancient
257,V,A,philosophy,history,333,Apress,medium,male,child,english,ancient
258,T,O,tech,mathematics,294,Wiley,slow,others,child,hindi,medieval
259,F,U,tech,misc,297,Orient Blackswan,medium,others,old,hindi,modern
260,V,U,nonfiction,signal_processing,253,CRC,fast,male,old,english,medieval
261,W,G,philosophy,computer_science,194,Penguin,medium,male,old,hindi,ancient
262,S,J,science,computer_science,267,Orient Blackswan,fast,female,old,english,medieval
263,H,D,nonfiction,comic,172,Orient Blackswan,slow,male,adult,english,modern
264,Y,Q,science,economics,208,Orient Blackswan,medium,female,adult,english,modern
265,B,Y,tech,physics,324,HarperCollins,medium,others,child,hindi,medieval
266,T,S,fiction,history,339,Orient Blackswan,fast,others,adult,hindi,medieval
267,E,S,philosophy,data_science,288,CRC,slow,female,child,english,modern
268,C,K,tech,legal,163,Wiley,slow,male,adult,english,medieval
269,S,L,fiction,novel,194,Orient Blackswan,medium,male,adult,hindi,modern
270,E,A,philosophy,mathematics,297,CRC,fast,male,adult,english,ancient
271,S,Z,fiction,comic,182,Orient Blackswan,fast,others,old,hindi,medieval
272,R,E,philosophy,autobiography,338,Apress,medium,others,adult,english,medieval
273,B,G,fiction,autobiography,300,CRC,slow,female,old,english,medieval
274,C,P,tech,legal,331,CRC,slow,male,adult,hindi,medieval
275,V,S,nonfiction,trivia,232,Wiley,fast,male,child,english,medieval
276,Q,W,science,legal,224,Orient Blackswan,slow,female,adult,hindi,ancient
277,H,U,tech,signal_processing,160,Wiley,slow,male,adult,english,medieval
278,I,G,tech,autobiography,349,Orient Blackswan,medium,others,old,english,ancient
279,D,U,philosophy,misc,276,Wiley,medium,male,adult,english,ancient
280,Y,L,nonfiction,novel,206,Springer,fast,male,adult,english,ancient
281,E,C,nonfiction,trivia,294,Springer,fast,female,old,hindi,ancient
282,R,F,fiction,history,191,Penguin,fast,female,child,hindi,ancient
283,R,O,fiction,comic,338,Springer,medium,female,adult,hindi,ancient
284,F,K,philosophy,legal,158,Apress,fast,others,child,hindi,medieval
285,K,O,fiction,misc,299,Apress,medium,female,adult,english,modern
286,A,J,fiction,psychology,207,Wiley,slow,others,old,english,medieval
287,C,D,tech,physics,216,Orient Blackswan,slow,female,adult,hindi,modern
288,H,P,nonfiction,signal_processing,235,CRC,slow,others,old,hindi,modern
289,T,Z,tech,legal,151,Wiley,fast,others,child,english,modern
290,J,Y,science,comic,315,Penguin,medium,female,old,hindi,medieval
291,C,L,science,novel,338,Orient Blackswan,slow,male,adult,english,ancient
292,S,F,philosophy,psychology,347,Penguin,medium,male,child,english,ancient
293,D,J,fiction,misc,232,Wiley,medium,others,adult,english,ancient
294,M,O,fiction,comic,313,HarperCollins,fast,female,old,hindi,ancient
295,S,X,nonfiction,autobiography,158,Apress,fast,others,old,english,ancient
296,E,H,fiction,comic,206,HarperCollins,slow,others,old,english,medieval
297,H,H,tech,data_science,302,Apress,fast,female,adult,hindi,modern
298,Z,P,nonfiction,data_science,296,Orient Blackswan,slow,male,old,hindi,ancient
299,I,U,fiction,economics,219,Penguin,fast,male,adult,english,modern
300,Z,S,fiction,signal_processing,298,Springer,fast,others,old,english,medieval
301,D,R,nonfiction,history,244,Penguin,medium,female,adult,english,medieval
302,C,V,fiction,autobiography,203,Wiley,slow,male,adult,english,medieval
303,Q,Y,tech,autobiography,286,Penguin,fast,others,adult,hindi,medieval
304,E,Z,science,history,346,Penguin,medium,male,adult,hindi,ancient
305,F,M,science,novel,336,Apress,medium,male,old,english,ancient
306,O,Q,nonfiction,trivia,320,Penguin,slow,male,child,hindi,modern
307,U,W,tech,economics,220,CRC,fast,female,child,english,medieval
308,O,G,fiction,legal,299,Apress,slow,female,adult,english,modern
309,Y,X,nonfiction,history,320,Wiley,slow,male,old,english,ancient
